txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN001,19-06-2026,Swiggy,450.00,INR,SUCCESS,Food,ACC100,
TXN002,2026/06/18,Netflix,199.00,INR,success,Entertainment,ACC100,
TXN003,17-06-2026,Amazon,$15.50,usd,SUCCESS,Shopping,ACC100,
TXN004,16-06-2026,Uber,180.00,INR,SUCCESS,Transport,ACC100,
,15-06-2026,Ola Cabs,350.00,inr,SUCCESS,Transport,ACC100,
TXN005,14-06-2026,IRCTC,1250.00,INR,SUCCESS,,ACC200,
TXN006,13-06-2026,Airtel Bill,799.00,INR,PENDING,,ACC200,
TXN007,12-06-2026,Zomato,320.00,INR,SUCCESS,Food,ACC300,
TXN007,12-06-2026,Zomato,320.00,INR,SUCCESS,Food,ACC300,
TXN008,11-06-2026,McDonalds,150.00,INR,SUCCESS,Food,ACC400,
TXN009,10-06-2026,Starbucks,120.00,INR,SUCCESS,Food,ACC400,
TXN010,09-06-2026,Pizza Hut,180.00,INR,SUCCESS,Food,ACC400,
TXN011,08-06-2026,Swiggy,950.00,INR,SUCCESS,,ACC400,SUSPICIOUS?
TXN012,07-06-2026,Swiggy,$20.00,USD,SUCCESS,Food,ACC500,
TXN013,06-06-2026,Ola Cabs,15.00,usd,FAILED,Transport,ACC500,
TXN014,05-06-2026,IRCTC,45.00,USD,SUCCESS,Travel,ACC500,SUSPICIOUS
TXN015,2026/05/08,Swiggy,81.00,INR,success,Food,ACC100,
TXN016,01-09-2026,Swiggy,376.00,INR,SUCCESS,Food,ACC300,
TXN017,06-12-2026,Zomato,184.00,INR,PENDING,,ACC400,
TXN018,2026/05/26,Amazon,383.00,INR,FAILED,,ACC300,
TXN019,12-10-2026,Swiggy,370.00,INR,PENDING,Food,ACC200,
TXN020,2026/11/27,Starbucks,93.00,INR,FAILED,Food,ACC100,Duplicate?
TXN021,08-03-2026,McDonalds,204.00,INR,FAILED,Food,ACC100,
TXN022,13-05-2026,Flipkart,$118.00,usd,SUCCESS,Shopping,ACC400,SUSPICIOUS
TXN023,2026/04/24,Airtel,285.00,INR,success,Utilities,ACC200,
TXN024,2026/01/28,Flipkart,88.00,INR,success,,ACC400,Duplicate?
TXN025,18-01-2026,Google,379.00,INR,FAILED,Other,ACC300,
TXN026,2026/12/24,Netflix,266.00,INR,FAILED,Entertainment,ACC200,
TXN027,2026/09/01,Jio,175.00,INR,PENDING,Utilities,ACC300,
TXN028,03-02-2026,Microsoft,$258.00,INR,SUCCESS,Other,ACC200,
TXN029,07-09-2026,Steam,383.00,INR,FAILED,Entertainment,ACC300,
TXN030,2026/04/08,Flipkart,183.00,INR,success,Shopping,ACC100,SUSPICIOUS
TXN031,2026/01/28,Starbucks,46.00,INR,FAILED,Food,ACC200,SUSPICIOUS
TXN032,16-04-2026,Steam,$252.00,INR,SUCCESS,,ACC400,
TXN033,2026/12/02,Google,$344.00,INR,SUCCESS,Other,ACC300,
TXN034,2026/04/18,McDonalds,81.00,INR,FAILED,Food,ACC100,
TXN035,04-01-2026,Google,$286.00,INR,SUCCESS,Other,ACC400,
TXN036,2026/01/06,Zomato,$11.00,INR,FAILED,Food,ACC400,
TXN037,2026/01/19,Microsoft,287.00,usd,SUCCESS,,ACC400,Duplicate?
TXN038,02-09-2026,Flipkart,445.00,INR,FAILED,Shopping,ACC400,
TXN039,19-10-2026,Amazon,327.00,usd,PENDING,Shopping,ACC300,
TXN040,2026/11/10,McDonalds,$171.00,INR,SUCCESS,Food,ACC100,
TXN041,05-06-2026,Flipkart,460.00,INR,SUCCESS,Shopping,ACC300,Duplicate?
TXN042,17-01-2026,Google,428.00,INR,SUCCESS,Other,ACC100,SUSPICIOUS
TXN043,2026/10/07,Microsoft,185.00,INR,success,Other,ACC100,
TXN044,02-01-2026,Starbucks,404.00,INR,SUCCESS,Food,ACC400,Duplicate?
,2026/12/05,Airtel,$28.00,INR,FAILED,,ACC300,
TXN046,28-01-2026,Starbucks,117.00,INR,PENDING,Food,ACC400,Duplicate?
TXN047,08-03-2026,Steam,425.00,INR,SUCCESS,Entertainment,ACC300,
TXN048,28-12-2026,Steam,137.00,INR,FAILED,Entertainment,ACC400,
TXN049,12-05-2026,Steam,456.00,INR,FAILED,Entertainment,ACC300,
TXN050,09-06-2026,Google,270.00,usd,SUCCESS,,ACC300,
TXN051,02-02-2026,Jio,232.00,usd,FAILED,Utilities,ACC100,
TXN052,2026/01/23,Zomato,10.00,INR,PENDING,Food,ACC300,Duplicate?
TXN053,24-05-2026,Airtel,168.00,usd,FAILED,Utilities,ACC200,
TXN054,22-12-2026,Uber,325.00,INR,success,Transport,ACC300,
TXN055,20-11-2026,Starbucks,248.00,INR,success,Food,ACC200,SUSPICIOUS
TXN056,21-10-2026,Starbucks,$57.00,INR,FAILED,Food,ACC200,
,2026/08/20,Steam,47.00,INR,FAILED,Entertainment,ACC400,
TXN058,01-02-2026,Steam,227.00,inr,SUCCESS,Entertainment,ACC100,
TXN059,2026/09/18,Jio,$172.00,inr,success,Utilities,ACC400,
TXN060,2026/03/24,McDonalds,240.00,INR,FAILED,Food,ACC400,SUSPICIOUS
TXN061,2026/12/10,Swiggy,149.00,INR,SUCCESS,Food,ACC400,SUSPICIOUS
TXN062,2026/07/14,Starbucks,287.00,INR,SUCCESS,Food,ACC400,
TXN063,28-10-2026,Zomato,254.00,usd,PENDING,Food,ACC400,Duplicate?
TXN064,20-04-2026,McDonalds,122.00,inr,SUCCESS,Food,ACC400,SUSPICIOUS
TXN065,2026/03/20,Airtel,$23.00,INR,SUCCESS,Utilities,ACC200,
TXN066,2026/07/11,Swiggy,242.00,INR,PENDING,Food,ACC400,
TXN067,2026/12/18,Amazon,497.00,INR,FAILED,,ACC100,
TXN068,2026/03/08,Uber,252.00,INR,FAILED,Transport,ACC300,
TXN069,23-02-2026,Steam,429.00,INR,SUCCESS,Entertainment,ACC300,Duplicate?
TXN070,13-12-2026,Swiggy,48.00,INR,SUCCESS,Food,ACC300,
TXN071,26-10-2026,Steam,31.00,INR,FAILED,Entertainment,ACC300,
TXN072,04-07-2026,Starbucks,$335.00,inr,FAILED,Food,ACC200,SUSPICIOUS
TXN073,20-09-2026,Steam,257.00,INR,PENDING,Entertainment,ACC100,
TXN074,2026/08/19,Jio,352.00,INR,FAILED,Utilities,ACC200,
TXN075,11-05-2026,Jio,$369.00,INR,success,Utilities,ACC100,
TXN076,2026/04/23,McDonalds,340.00,inr,SUCCESS,,ACC200,
TXN077,2026/10/12,McDonalds,293.00,INR,FAILED,Food,ACC300,SUSPICIOUS
TXN078,2026/04/04,Microsoft,108.00,INR,SUCCESS,Other,ACC400,
TXN079,17-10-2026,Netflix,$61.00,INR,SUCCESS,Entertainment,ACC300,
TXN080,2026/01/02,Airtel,159.00,INR,FAILED,Utilities,ACC400,
TXN081,16-08-2026,McDonalds,184.00,INR,PENDING,Food,ACC400,
TXN082,2026/02/19,Google,361.00,INR,success,Other,ACC100,
TXN083,20-10-2026,Steam,326.00,INR,FAILED,Entertainment,ACC300,
TXN084,2026/10/20,Amazon,$322.00,INR,SUCCESS,Shopping,ACC300,SUSPICIOUS
TXN009,10-06-2026,Starbucks,120.00,INR,SUCCESS,Food,ACC400,
TXN014,05-06-2026,IRCTC,45.00,USD,SUCCESS,Travel,ACC500,SUSPICIOUS
TXN019,12-10-2026,Swiggy,370.00,INR,PENDING,Food,ACC200,
